,Spearman,r2
60 samples MLP,0.999999772497908,0.9920615467090376
60 samples OLS,0.9999998098819582,0.9933660249863132
30 samples MLP,0.9999994093042117,0.995878336712619
30 samples OLS,0.9999994268946876,0.9960010767421205
